Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P42356	P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha					127650	464728												
P42574	P42574	CASP3_HUMAN	CASP3	Caspase-3	96832.8	138378		113765	61083.1	80930		129620	139756	156324			104331	145056		150417	94140.6	171560
P42677	Q71UM5;P42677	RS27_HUMAN	RPS27	40S ribosomal protein S27	739523	1.04066e+06	793999	291930	67312.9	266020	681916	790959	960956	296101	49992.4		226103	881161	746313	1.04509e+06	38121.6	84467.2
P42695	P42695	CNDD3_HUMAN	NCAPD3	Condensin-2 complex subunit D3						171506												
P42704	P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	572658	668031	292248	267799	884386	466427	303658	425952	200737	261164	119702	360835		573984	426119	460712	195915	365966
P42766	P42766	RL35_HUMAN	RPL35	60S ribosomal protein L35	3.73394e+06	4.26081e+06	1.71023e+06	1.4395e+06	528168	1.45122e+06	3.26549e+06	4.05322e+06	1.95421e+06	1.17663e+06	705463	931153	1.15264e+06	3.3116e+06	975086	2.08891e+06	882193	1.30252e+06
P42785	P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	379493	528423	545550	459508	227232	228463	226278		552948	290613	1.35894e+06			125370		174298	1.1791e+06	158276
P43007	P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	307111	103544	814040	1.18499e+06	842497	676466	218413	404689	545468	1.079e+06	1.12257e+06	2.42596e+06		47539.6	679044	263337	1.15805e+06	946711
P43034	P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha	646433	362889	446950	691520	283784	1.14797e+06	606877	617586	599186	710136	401208	314319	945352	901048	700196	974710	632660	1.30379e+06
P43121	P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	531693	465426	805119	1.22139e+06	1.26669e+06	623438	607377	356048	899321	1.12732e+06	1.39347e+06	523896		165818	740771	396465	1.53417e+06	730877
P43235	P43235	CATK_HUMAN	CTSK	Cathepsin K		265118	296412	308258	517462	94525.1	273992	313969	471559	483205	412023					68683.8	274387	127472
P43243	P43243	MATR3_HUMAN	MATR3	Matrin-3					1.42809e+06	3.05189e+06						1.11013e+06		64683		38939.1		1.36853e+06
P43251	P43251	BTD_HUMAN	BTD	Biotinidase			397272	540357	61719.9				1.18269e+06	311200	360209						583426	
P43304	P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial					282363	490407												
P43487	P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	289853	304938	547590	373457	373716	846703	422404	456575	493580	423920	330632	822144	301260	373890	830686	511044	371034	717553
P43490	P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	1.56631e+06	1.57482e+06	2.06998e+06	1.85399e+06	917568	2.69913e+06	2.13124e+06	1.8669e+06	2.20035e+06	2.10302e+06	1.41325e+06	2.28883e+06	1.2337e+06	1.95792e+06	1.9555e+06	2.65064e+06	1.88797e+06	2.3753e+06
P43652	P43652	AFAM_HUMAN	AFM	Afamin	1.9906e+07	1.85687e+07	1.01539e+07	2.00968e+07	4.20735e+06	6.99796e+06	2.0812e+07	1.31664e+07	1.37531e+07	1.67568e+07	3.5164e+06	6.00832e+06	5.69939e+06	9.92664e+06	1.08096e+07	5.13226e+06	3.64356e+06	4.07419e+06
P43686	P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	622328	734672	593583	380170	1.07257e+06	1.4712e+06	745719	772345	452409	322706				668669		715342	151438	668796
P45877	P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	225905	282014	460427	924118	677301	108006	256272	213543	711607	448953	963351	400631		226791	384207	258306	1.04332e+06	326408
P45974	P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	353002	390344	386241	122938	135429	189215	382266	433570	281438	259180	107340	412023		207046	5.88291e+06	256913		146499
P46060	P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	96180.8	65854.2	294515	103474	128296	324365	106879	81921	174191	227062	90352.6	214098		105558	193149	213504	180240	306265
P46063	P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	766925	717834	474620		355667	1.78352e+06	476211	727431	592498	339678		1.21896e+07	166586	619917	461881	574698		382236
P46108	P46108	CRK_HUMAN	CRK	Adapter molecule crk			194857	104900				52402.9	78087.5	133351	40028.2			134199		121939		75467
P46109	P46109	CRKL_HUMAN	CRKL	Crk-like protein					432390			34548.7	23081					32745.3				41353.6
P46379	P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6						1.23458e+06												
P46734	P46734	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	45548.8				33951.7	1.18399e+06						317797		36795.9		27951.1		
P46776	P46776	RL27A_HUMAN	RPL27A	60S ribosomal protein L27a	7.516e+06	5.29915e+06	6.51183e+06	3.12514e+06	388451	1.53923e+06	6.11965e+06	2.62378e+06	3.57552e+06	3.32887e+06	557846	1.28928e+06	4.91159e+06	4.52801e+06	3.47203e+06	3.79281e+06	862244	2.22735e+06
P46777	P46777	RL5_HUMAN	RPL5	60S ribosomal protein L5	2.32978e+06	3.00421e+06	3.5249e+06	3.33012e+06	716384	2.33436e+06	2.50246e+06	2.66019e+06	2.98349e+06	2.84538e+06	787589	2.02186e+06	1.12636e+06	3.15987e+06	2.53693e+06	3.43593e+06	1.22117e+06	1.94753e+06
P46778	P46778	RL21_HUMAN	RPL21	60S ribosomal protein L21	1.78667e+06	1.87786e+06	1.07882e+06	1.13216e+06	405914	399052	1.83179e+06	1.69998e+06	1.11151e+06	918854	340926		566730	2.0644e+06	874484	1.33712e+06	601582	384587
P46779	P46779	RL28_HUMAN	RPL28	60S ribosomal protein L28	3.73019e+06	3.61765e+06	1.35833e+06	2.27356e+06	383598	759562	3.29697e+06	3.87788e+06	2.42264e+06	1.85125e+06	585867	294068	1.94582e+06	3.8962e+06	1.8192e+06	2.37429e+06	682764	456283
P46781	P46781	RS9_HUMAN	RPS9	40S ribosomal protein S9	5.26437e+06	6.09786e+06	4.14202e+06	5.16927e+06	812063	2.43475e+06	4.56886e+06	5.12696e+06	5.62085e+06	4.57119e+06	1.05288e+06	2.82589e+06	2.5119e+06	5.52262e+06	2.43377e+06	4.879e+06	960113	2.76895e+06
P46782	P46782	RS5_HUMAN	RPS5	40S ribosomal protein S5	2.12993e+06	1.99696e+06	2.24235e+06	1.66967e+06	186572	1.1264e+06	2.15041e+06	1.78301e+06	1.718e+06	1.88187e+06	374291	296269	2.18384e+06	2.13707e+06	1.53907e+06	2.16914e+06	619857	1.16428e+06
P46783	P46783;Q9NQ39	RS10_HUMAN	RPS10	40S ribosomal protein S10	2.71501e+06	2.23348e+06	1.92189e+06	2.22591e+06	345667	962791	2.74936e+06	2.33847e+06	2.20783e+06	2.20107e+06	495632	1.17617e+06	3.96823e+06	3.16104e+06	1.82406e+06	3.01141e+06	480393	1.33362e+06
P46783;Q15149	Q15149;P46783;Q9NQ39	PLEC_HUMAN;RS10_HUMAN	PLEC;RPS10	40S ribosomal protein S10	140380	82689.7	139022				216671		44930.3				163060	155065		118588		
P46926	Q8TDQ7;P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	1.05604e+06	992729	1.29601e+06	940869	690609	1.53415e+06	1.03752e+06	1.10899e+06	995216	1.29025e+06	649164	1.27455e+06	989736	1.11293e+06	1.32064e+06	1.4434e+06	1.08855e+06	2.156e+06
P46939	P46939	UTRO_HUMAN	UTRN	Utrophin			24074.4			65937.9												
P46940	P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	1.92475e+06	1.57369e+06	1.80064e+06	2.3665e+06	845925	3.06067e+06	1.57884e+06	1.62588e+06	1.81647e+06	1.57552e+06	1.50196e+06	3.32004e+06		1.35998e+06	1.15169e+06	1.41904e+06	1.20888e+06	2.20024e+06
P46940;Q86VI3	P46940;Q86VI3	IQGA1_HUMAN;IQGA3_HUMAN	IQGAP1;IQGAP3	Ras GTPase-activating-like protein IQGAP1				312842	460028	442197	286716	708495		381050		326112		142831		155655	138830	121420
P46976	P46976	GLYG_HUMAN	GYG1	Glycogenin-1	95190	344491	599897			831291	177389		529696			324480		653499	500776	257994	198550	898370
P46977	P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A					406462	564372		154565				660534						801675
P47755	P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	266947	282291	190600	323810	253454	444199	336107	338126	333347	368840	141995	266139	315638	358737		595075	257913	333071
P47755;P52907	P47755;P52907	CAZA1_HUMAN;CAZA2_HUMAN	CAPZA1;CAPZA2	F-actin-capping protein subunit alpha-2	398633	628445	436225	260949	214618	730191	429812	532238	419208	347432	491790	716733		305516	624752	329003	439628	563734
P47756	P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	370990	407229	397889	458821	279737	817493	348531	522929	502931	525345	323808	355438	451860	488287	372872	490990	409587	482632
P47897	P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	211501	310202	250182	241995	168204	230851	173056	246456	348144	286770	93908.6	199509		310766	324972	288262	132383	233540
P47914	P47914	RL29_HUMAN	RPL29	60S ribosomal protein L29	1.12391e+06	933923	667527	663646	197974	307523	1.23316e+06	1.18173e+06	542728	853539	257076	312431	1.38381e+06	1.34923e+06	1.17331e+06	1.10758e+06	262635	317282
P48147	P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	445940	612695	507254	362342		311021	357970	566518	687366	639950	156620	128246	621956	817061		964606	277447	1.0619e+06
P48163	P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	708269	711237	338774	564773	47294.4	219469	540955	550598	459100	298516		1.0552e+06		308870	443541	353563	197025	277399
P48444	P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	320109	232547	293199	243408	60159.7	333603	316143	245473	306355	245083	149504	95409.7	318745	259382	362170	321006	267098	382293
P48507	P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit	193969	143421	201864	59955.7		81191.3		225984	234426	221011				198812	137603	230479	153812	241772
P48509	P48509	CD151_HUMAN	CD151	CD151 antigen			1.10271e+06		414290	323680	331110		460878	455260	554483				444595	325606	598797	471938
P48634	P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A	489899	456116	345651	533084			641609	327360	285380	365344	38116.3			176630	163953	170489	109996	
P48637	P48637	GSHB_HUMAN	GSS	Glutathione synthetase		555784	541942	310955	386392	609549	482561	548601	571328	528406	207757	819620		424623	2.10088e+06	415163	379171	631060
P48643	P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	986972	1.21475e+06	1.36736e+06	943893	1.02947e+06	1.83138e+06	963331	1.12543e+06	1.3155e+06	1.19177e+06	598166	2.39326e+06	1.77149e+06	1.39683e+06	1.49222e+06	1.60177e+06	1.01262e+06	2.2747e+06
P48681	P48681	NEST_HUMAN	NES	Nestin	431270	431435	241756	423609	59058.9		208113	352168	455917	286376	101336		147589	185577	406351	261813	128742	
P48723	P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	902935	724557	1.91795e+06	2.83065e+06	2.06348e+06	793080	566618	835243	2.70057e+06	2.20539e+06	3.62694e+06	785177		246796	2.08431e+06	436981	3.69897e+06	1.03422e+06
P48736	P48736	PK3CG_HUMAN	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	252654	274169	439709	210363	26811.5	292028	96248.9	323118	408140	338354	139367		807390	335502	542948	399594	224769	394705
P48739	P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	201542	163448	193636	370154	75615	237818	181631	187581	247469	190107	170836			158907		242984	254379	368183
P48741	P48741;P17066	HSP77_HUMAN	HSPA7	Putative heat shock 70 kDa protein 7						3.89949e+07							4.11066e+07					5.00041e+07
P48745	P48745	CCN3_HUMAN	CCN3	CCN family member 3	516478	761296	1.66e+06	1.29626e+06	1.84032e+06	1.41153e+06	527952	667416	2.07781e+06	1.74588e+06	2.1639e+06	1.19288e+06			2.24353e+06	345306	3.30006e+06	1.11307e+06
P49006	P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	637086	561377	680804	1.3087e+06	828626	353968	500398	692495	888198	1.72254e+06	823546		583279	718695	1.114e+06	1.16639e+06	821440	384302
P49189	P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	337660	257956	190091	98944.4	441562	75305.6		325445			75237.1	1.12771e+06	348685	612943	153606	237314	131484	84171.8
P49207	P49207	RL34_HUMAN	RPL34	60S ribosomal protein L34	1.4919e+06	1.23272e+06	896102	940864	321356	775486	1.46064e+06	1.27124e+06	1.11796e+06	954017	316883	810967	1.03799e+06	1.48939e+06	916104	1.06588e+06	306126	804121
P49321	P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	701123	671094	956938	773032	209355	436367	741718	929597	837414	925153		146516		941311	413194	1.03859e+06	419827	421944
P49327	P49327	FAS_HUMAN	FASN	Fatty acid synthase	3.21473e+06	2.36861e+06	2.42671e+06	3.0551e+06	1.93411e+06	2.45785e+06	3.24744e+06	4.40398e+06	3.08871e+06	3.53997e+06	1.46492e+06	3.6072e+06	1.6333e+06	2.64214e+06	1.94384e+06	2.58518e+06	1.81301e+06	2.33123e+06
P49354	P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha			40059.1				123402					114943		157114	52254.7	85502		124494
P49368	P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	2.5654e+06	1.91207e+06	1.8233e+06	1.894e+06	1.09168e+06	2.38445e+06	2.32603e+06	1.99103e+06	1.96979e+06	1.94671e+06	866596	1.89276e+06	2.26063e+06	2.282e+06	2.08939e+06	2.51318e+06	1.6381e+06	2.11202e+06
P49407	P32121;P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	1.21044e+07	9.89769e+06	7.24862e+06	6.97872e+06	2.41294e+06	2.67961e+06	1.21279e+07	7.96934e+06	6.16055e+06	7.14957e+06	2.49068e+06	2.4819e+06	2.46444e+06	3.80562e+06	4.38407e+06	2.97983e+06	2.53318e+06	2.18596e+06
P49411	P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	251530	159959		253873		170098	82012.5	293973	38536	40964.8			201490	274347		128705		182396
P49588	P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	2.30892e+06	2.39519e+06	1.88124e+06	1.71669e+06	1.77566e+06	2.53578e+06	2.40321e+06	2.53085e+06	2.06412e+06	1.73744e+06	832651	1.57026e+06	2.97472e+06	2.29274e+06	1.77285e+06	2.00923e+06	1.51396e+06	2.48795e+06
P49589	P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	403737	313330	335129	465201	110591	385850	310042	405977	363830	442633	235943	535499		308278		318124	316739	441753
P49591	P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	477736	605389	369163	283213		739397	384820	746695	524370	234037	58623.1	1.05984e+06		448981		328231	162281	869676
P49593	P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F					263820													
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	490804	553061	1.02451e+06	369535	328146	758483	775033	442404	595418	474980	167050	683337	1.1824e+06	659583	889882	724638	497154	1.11662e+06
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	725910	511457	349939	974549	716953	548997	595508	648963	559519	1.09143e+06	536541	2.21181e+06	1.35622e+06	1.14927e+06	844504	976987	711072	537772
P49736	P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	718903	152464	166953	236482		70876.6	220019	389106	149961	99449.8	142046			388302		265737	115806	141271
P49747	P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	3.63809e+07	2.65662e+07	1.53145e+07	2.85788e+07	9.19606e+06	1.03766e+07	2.74141e+07	2.52999e+07	1.94625e+07	3.02884e+07	7.08416e+06	5.58626e+06	1.47857e+07	1.16558e+07	3.02173e+07	8.8216e+06	7.46502e+06	8.99902e+06
P49756	P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25					177139	536044												
P49767	P49767	VEGFC_HUMAN	VEGFC	Vascular endothelial growth factor C			415640	180728	778769						780795				216716	82383.3	680746	
P49770	P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF-2B subunit beta					115381	87539.1						291177		35183.2	128075	31072.4		821796
P49902	P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase					55360	1.00413e+06						110012		127927				118652
P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	592652	628281	478831	213365	2.4792e+06	284268	204180	384191	460058	294164		463947	968507	567754		401009	208663	442437
P49917	P49917	DNLI4_HUMAN	LIG4	DNA ligase 4	889074	832814	1.34593e+06	301431			913053	427517	834906	244215	25531.9		77376.9	217270	427648	126384		33473.9
P50213	P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial		26175	18979.1		162862									24723				20549
P50281	P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14	635391	419059	974321	1.99166e+06	1.38609e+06	1.25368e+06		269062	1.01612e+06	1.6648e+06	1.59542e+06	1.45731e+06		62187.3	1.24054e+06	374965	1.26198e+06	1.30656e+06
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	5.69161e+06	5.06106e+06	5.65439e+06	6.00375e+06	3.0955e+06	1.40123e+07	5.4879e+06	5.94327e+06	5.29284e+06	6.29381e+06	3.23806e+06	9.02653e+06	4.05738e+06	5.48444e+06	5.10023e+06	6.34533e+06	4.74368e+06	7.72858e+06
P50443	P50443	S26A2_HUMAN	SLC26A2	Sulfate transporter			98957.6	174443		143006	55896.7	58122.2	116398	122740	126167	205672					94866.6	99120.4
P50452	P50452;O75830;P30740;P50453	SPB8_HUMAN	SERPINB8	Serpin B8		71926.5	83357.5					53337.7	72403.3					55782.8		66962.1		
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1	2.50891e+06	3.00596e+06	2.6325e+06	2.576e+06	1.51342e+06	2.64267e+06	1.93595e+06	2.0265e+06	2.53322e+06	1.37116e+06	1.04654e+06	1.92487e+06	1.44856e+06	3.8807e+06	3.45109e+06	4.56227e+06	2.43828e+06	1.89715e+06
P50502	P50502;Q8IZP2	F10A1_HUMAN	ST13	Hsc70-interacting protein	2.04588e+06	2.35503e+06	2.15043e+06	2.92757e+06	2.34729e+06	5.05678e+06	2.61799e+06	2.48429e+06	1.96997e+06	3.91335e+06	2.56127e+06	5.76031e+06	2.05513e+06	2.20559e+06	3.27047e+06	3.1535e+06	2.83038e+06	4.65412e+06
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	151026	742718	298971	237651	37928.1	335504		489920	259897	248786	228010			198013		212369	224897	535113
P50570	P50570	DYN2_HUMAN	DNM2	Dynamin-2						94837.4												87732.2
P50579	P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2	56594.4	240396		107177		54821.9	25835.7	188290	241681	64537.3		166966	33478.8	124986	37900.2	97077.4		55585.5
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1	548774	486372	1.87845e+06	1.77822e+06	3.88824e+06	1.71818e+06	581640	466795	1.97026e+06	2.05433e+06	4.06184e+06	4.38636e+06		181852	1.96905e+06	576204	3.84564e+06	1.53008e+06
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14	1.15547e+06	1.48199e+06	1.02969e+06	1.00608e+06	110571	432888	1.56195e+06	1.61088e+06	1.00798e+06	944458	124817	517109	1.40366e+06	1.34517e+06	1.26758e+06	825244	136670	486474
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	1.97928e+06	1.62543e+06	2.30663e+06	1.96711e+06	858375	2.4342e+06	1.75472e+06	2.19859e+06	2.16678e+06	2.44986e+06	943646	2.18351e+06	2.46176e+06	2.32122e+06	2.58619e+06	2.92698e+06	1.62146e+06	2.60626e+06
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	1.55511e+06	1.71167e+06	2.14262e+06	1.40891e+06	1.0673e+06	2.51576e+06	1.58068e+06	1.84813e+06	2.39887e+06	1.4279e+06	886646	2.51902e+06	2.70649e+06	1.77603e+06	2.33206e+06	2.24022e+06	1.47219e+06	2.37012e+06
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11	629000	415339	531650	351538	370041	238053	173012	279981	749191	376882	697674	38039.1		203310	505353	326624	623774	504916
P51114	Q06787;P51114;P51116	FXR1_HUMAN	FXR1	Fragile X mental retardation syndrome-related protein 1		374961	423539	381931	96891.3	398879	146187	346747	520730	165485	111146		139393	321418		321231	201934	295473
P51148	P61020;P20339;P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	1.17408e+06	1.20605e+06	969021	2.06706e+06	1.23929e+06	1.54443e+06	812007	953541	1.35379e+06	1.77569e+06	1.68031e+06	2.02084e+06	277055	779499	1.16652e+06	758610	1.30507e+06	1.67208e+06
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	733639	296817	495728	650286	481049	914002	564121	482124	484390	622692	536566	828891		466306	639397	545880	742426	711849
P51153	P51153	RAB13_HUMAN	RAB13	Ras-related protein Rab-13			28692.1	250927	17160.2	76435					324248			54226.2		132501	79292	
P51153;P61006;P61026;P62820	P59190;Q92930;P51153;Q92928;P61026;P62820;P61006;Q9H0U4	RAB10_HUMAN;RAB13_HUMAN;RAB1A_HUMAN;RAB8A_HUMAN	RAB10;RAB13;RAB1A;RAB8A	Ras-related protein Rab-13	1.36513e+06	896882			1.79022e+06	2.32446e+06					1.90625e+06	1.58611e+06				800301		2.27171e+06
P51397	P51397	DAP1_HUMAN	DAP	Death-associated protein 1			43708.2					10996.7	43613.7							33400.4		
P51570	P51570	GALK1_HUMAN	GALK1	Galactokinase	274965	260379	183893	152134			236039	196567	115885	1.06849e+06				415125		175803		535610
P51572	P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31	21881.3			40396.6	55001.4		58266		68382.9	21568.7	151216	689465						
P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7	67389.1	57362	78552.1		941371	336359		61119.1	41245.8		36382			205950		162710	85114.5	45629.8
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	1.22635e+06	1.65644e+06	2.09467e+06	1.82463e+06	2.22005e+06	3.67929e+06	1.45791e+06	2.02698e+06	2.10745e+06	1.93488e+06	1.33315e+06	2.73176e+06	2.51668e+06	1.64871e+06	2.14236e+06	2.07806e+06	1.65849e+06	2.89589e+06
P51884	P51884	LUM_HUMAN	LUM	Lumican	5.13826e+06	4.29e+06	1.89678e+06	3.12384e+06	1.4208e+06	900377	2.84333e+06	2.93299e+06	3.17912e+06	4.05598e+06	1.7472e+06	2.04606e+06	1.69e+06	2.91827e+06	3.1378e+06	1.35047e+06	1.33143e+06	769159
P51946	P51946	CCNH_HUMAN	CCNH	Cyclin-H						420777												
P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	611787	1.12979e+06	805549	802831	207962	1.05777e+06	913972	908748	781592	1.13919e+06	376981	648127	1.26781e+06	1.21398e+06	875398	1.46065e+06	1.02118e+06	950641
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	2.24923e+06	2.12168e+06	1.79979e+06	2.14983e+06	1.74355e+06	2.47817e+06	1.98992e+06	2.72641e+06	2.39652e+06	2.4839e+06	1.40212e+06	3.1366e+06	1.97975e+06	2.04207e+06	1.74365e+06	2.5653e+06	1.59452e+06	2.60961e+06
P52292	P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	1.57358e+06	1.28152e+06	1.24301e+06	1.5478e+06	2.1611e+06	1.06854e+06	1.61715e+06	1.59398e+06	1.52395e+06	1.53812e+06	1.0867e+06	1.44817e+06	2.99977e+06	1.82227e+06	1.51698e+06	1.71392e+06	1.19739e+06	987811
P52306	P52306	GDS1_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1						361468												
P52565	P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	246038	385878	552072	1.01052e+06	152621	1.03884e+06	315774	825050	549145	1.03853e+06	373772	750378	791788	827491	386323	578701	762943	925934
P52597	P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	382526	277057	797005	349247	1.59185e+06	1.24004e+06	400313	400113	749705	313446	257227	1.33738e+06		782039		783848	720655	629833
P52630	P52630	STAT2_HUMAN	STAT2	Signal transducer and activator of transcription 2					67768													
P52701	P52701	MSH6_HUMAN	MSH6	DNA mismatch repair protein Msh6					258520			30362.9										
