Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P01042	P01042	KNG1_HUMAN	KNG1	Kininogen-1	8.66533e+06	6.61509e+06	6.11951e+06	5.79501e+06	1.48438e+06	1.21263e+06	6.31953e+06	6.25067e+06	5.26385e+06	5.93905e+06	2.0388e+06	968947	5.55787e+06	4.97484e+06	3.4109e+06	3.42776e+06	2.4295e+06	1.008e+06
P01116	P01116;P01111	RASK_HUMAN	KRAS	GTPase KRas	99118.5	102247	170894	221574	250081	183720	147006		156986	215870	305490	175036		83282	242743	118207	213273	201739
P01130	P01130	LDLR_HUMAN	LDLR	Low-density lipoprotein receptor			46170.4			306085						50985.1						
P01137	P01137	TGFB1_HUMAN	TGFB1	Transforming growth factor beta-1 proprotein		213747	418008	791597	2.09529e+06	409330	32641	48132.8	878279	574295	2.11462e+06	387300			491211	97836.2	1.53492e+06	610634
P01266	P01266	THYG_HUMAN	TG	Thyroglobulin	2.10665e+06	2.1981e+06	864377	1.95859e+06		120584	1.90271e+06	1.73345e+06	1.08608e+06	1.58167e+06	296799	219809		904202		709647	284622	134471
P01706;P01709	P01709;P01706	LV208_HUMAN;LV211_HUMAN	IGLV2-11;IGLV2-8	Immunoglobulin lambda variable 2-11	2.8049e+06	3.5775e+06	3.05113e+06	2.9768e+06	2.03564e+06	1.4537e+06	4.7538e+06	2.63498e+06	2.53052e+06	3.4388e+06	1.37759e+06		1.13891e+06	991427	1.85511e+06	1.17363e+06	1.99087e+06	952918
P01857	P01857	IGHG1_HUMAN	IGHG1	Immunoglobulin heavy constant gamma 1		7.26647e+06	6.16938e+06	3.55946e+06		1.5719e+06	8.23651e+06	3.62113e+06	1.51697e+06	1.24983e+06	2.60748e+06		8.06624e+06	2.08801e+06	2.16311e+06	192989	705598	1.00842e+06
P02042;P02100;P68871	P69892;P02100;P02042;P69891;P68871	HBB_HUMAN;HBD_HUMAN;HBE_HUMAN	HBB;HBD;HBE1	Hemoglobin subunit delta	3.56882e+07	3.25454e+07	7.4744e+06	1.53322e+07	1.00446e+06	2.39513e+06	3.35703e+07	2.61514e+07	6.25978e+06	1.49455e+07	1.53871e+06	3.47543e+06	4.25723e+06	1.14479e+07	9.25414e+06	6.00722e+06	1.60045e+06	2.04244e+06
P02042;P68871	P02042;P68871	HBB_HUMAN;HBD_HUMAN	HBB;HBD	Hemoglobin subunit delta	5.17772e+07	3.3755e+07	1.66699e+07	1.47882e+07	1.18848e+06	1.45452e+06	5.27646e+07	2.6882e+07	1.30065e+07	1.23116e+07	2.2659e+06	1.00904e+06	1.29691e+07	1.55659e+07	1.01684e+07	7.00053e+06	2.81618e+06	2.03379e+06
P02452	P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain	1.20413e+07	1.4102e+07	1.10552e+07	1.53557e+07	2.93287e+06	3.40735e+06	1.3709e+07	1.12015e+07	1.02621e+07	1.32083e+07	4.77843e+06	4.20788e+06	5.70781e+06	6.32742e+06	9.52327e+06	5.87065e+06	4.41914e+06	4.8572e+06
