,Gene,Fold Change,Neg Log P-Value,p-values,Distance
136,AP1M1,0.3066305684434809,1.220510341080841,0.060185193190104555,1.2584386350510872
137,AP1M1;AP1M2,0.014960746911530265,0.016914872985689184,0.9618007845904389,0.022581781955214698
138,AP2A1,0.3568810722535183,0.9103493554441289,0.12292795151652644,0.9778036861713919
139,AP2A1,0.2520850520809539,1.0383390879778525,0.09155054036730179,1.0685012564828062
140,AP2A1;AP2A2,0.3361588370340307,1.0020750659737108,0.09952333805820907,1.056956575059869
141,AP2A2,0.42541928720105915,1.274176924531709,0.053189153113657815,1.3433199190556737
142,AP2B1,-0.11250779628735685,0.16064171549572265,0.6908094732099499,0.19612181159383085
143,AP2M1,-0.10638295721220103,0.17858886839575752,0.662843698046243,0.20787332079920742
144,AP3D1,0.24149575563384929,0.39896764564752274,0.3990546302858991,0.4663640018941118
145,APC2,0.5126948203647039,2.5648035464248253,0.0027239332035414953,2.6155445342379773
146,APEH,-0.5156990735672409,0.5555369910486382,0.2782678349026643,0.7580019016476708
147,APEX1,0.36129445177577324,1.7038571269954728,0.019776201251397417,1.7417413097521754
148,API5,0.14810469998549536,0.11853763180793479,0.7611361833630491,0.18970021695408548
149,APIP,-0.26869497904501927,3.226275123544577,0.0005939157965076055,3.2374446967580126
150,APLP2,0.3336013948787979,1.0589753437329144,0.08730209311321122,1.1102786448902473
151,APLP2;APP,0.022728511702482024,0.08161108701316956,0.8286839223380802,0.08471690957347887
152,APMAP,0.3458196569719725,0.4791644395408034,0.3317688141391102,0.5909228335989946
153,APOA1,0.385940088655623,0.43614454587807916,0.3663156338226911,0.5823845953755182
154,APOA4,-0.0318203452652952,0.016974936852847945,0.9616677746574825,0.03606498099210327
155,APOB,1.1104561235583184,0.7446574695667755,0.18002902541049967,1.337021895605962
156,APOC3,0.32845170312797833,1.0333644939151105,0.09260522815947086,1.0843074741843763
157,APOE,0.6365759838091698,0.6397354072931595,0.2292263782773284,0.9024912046702489
158,APOH,0.677022421391424,0.822252938620284,0.1505729854577131,1.065109972789852
159,APOL2,0.32024896871649133,0.7706507003044006,0.16957010914152157,0.8345429310968007
160,APOM,0.26120184648846134,0.3583426264737204,0.4381848656738458,0.4434364019304978
161,APOO,0.05306014552982319,0.07208815199436039,0.8470554635167837,0.08951022679899778
162,APP,0.2320618575128819,0.9621930945715076,0.1090955171732038,0.9897819239375022
163,APRT,0.07031834008251181,0.09455342591521806,0.8043527928222036,0.11783471179692517
164,ARCN1,-0.023116569459880054,0.05816219515756065,0.8746570576670105,0.06258767234160119
165,ARF1;ARF3,-0.37197252689440674,0.9683888854516682,0.10755017330688378,1.0373719652229543
166,ARF4,-0.7358814064157997,1.2952339691818366,0.05067176487274901,1.4896820060774818
167,ARF6,-0.5154768806269914,1.054156366132665,0.08827620079761807,1.173440266361675
168,ARG1,2.074763443056579,1.2660381395124274,0.05419532942591529,2.4305340802679725
169,ARHGAP1,-0.003567683278923539,0.019069160886488155,0.9570416513991681,0.01940003249722743
170,ARHGAP29,-0.27210242596741807,0.29688528849987067,0.5047946128667982,0.40271653150200537
171,ARHGAP31,0.7892224345915864,0.5611466645832832,0.2746966324810633,0.9683788671979653
172,ARHGDIA,-0.14249197106243372,0.19422727710488802,0.6394001339171375,0.24089042527430685
173,ARHGDIB,-0.11080210487866893,0.3084347441131072,0.49154723317750276,0.3277332723750542
174,ARHGEF1,0.27445816202201456,0.5998916770215728,0.2512513031586841,0.6596948589008841
175,ARL1,-0.08153649830538612,0.1476704710493761,0.711753364813401,0.16868541304999926
176,ARL3,-1.0583957503353432,0.7301325362344755,0.18615189591389272,1.2858052281726426
177,ARL8B,0.08237182213046879,0.13658519104620184,0.7301545719718822,0.15950119590216572
178,ARMC8,0.3728523145502969,1.3848333504500043,0.04122556814663565,1.4341486174675546
179,ARMC9,-0.5336723312221316,1.9599976898529547,0.010964840286662943,2.0313535146155592
180,ARPC1A,-0.27886507642805114,0.7918790071424968,0.1614808373883869,0.8395463613191408
181,ARPC1A;ARPC1B,0.8464569638021899,0.9194706222794833,0.12037308130485849,1.2497662248613706
182,ARPC1B,-0.004881231570639244,0.027863201978349548,0.9378573752414064,0.028287531637322255
183,ARPC2,0.1467209947410879,1.8944304188491488,0.012751743875818185,1.9001035924808878
184,ARPC3,-0.19115424647663914,0.3379067689477006,0.4592966005723555,0.38822793620079227
185,ARPC4,-0.17042973760386104,0.864406015677943,0.13664507530659745,0.8810471357424284
186,ARPC5,0.18781824528147695,0.5474694349610589,0.2834853139472867,0.5787905281508969
187,ARPC5L,0.29863578027041626,0.610439507849251,0.2452225996472995,0.6795731910552065
188,ARRB1,0.14125717077086009,0.5650480356431659,0.2722400177206371,0.5824370102237566
189,ARSA,0.6282173308656844,1.0223108506238503,0.09499246322023955,1.199906867262316
190,ARSB,0.08140286625375737,0.4266826522118625,0.3743840583711146,0.43437830555044565
191,ASAH1,-0.9670575674931357,1.2498100925293167,0.056258727851387316,1.5802612461975645
192,ASCC2,0.19141572681907704,0.406175884950945,0.3924859502971142,0.4490198547830138
193,ASL,0.018776344315416083,0.023299874276876693,0.9477638196293536,0.029923824073291805
194,ASNS,-0.7061188739748765,0.6205378999814084,0.23958636585548676,0.9400378447152454
195,ASPH,-0.6307189339504724,2.280019884515119,0.0052478343207668565,2.365649392329294
196,ASPN,0.17540545387473472,0.4352602107805141,0.36706230647836585,0.4692744658914431
197,ASS1,0.29957648811042503,0.8869975523726981,0.1297186581738475,0.9362215176675512
198,ATAD1,-0.6275923779128867,0.4677563934892554,0.3405991866320038,0.7827312670798495
199,ATAD3A;ATAD3C,0.3385208573972385,0.21069015426397836,0.6156159248967821,0.39873137824447735
200,ATG7,-0.3517259362198253,0.538003444762789,0.28973206064703577,0.6427743311507857
201,ATIC,-0.33633608581623164,1.3612377563572529,0.04352735161129034,1.4021733815597526
202,ATP11B,-0.02956845433316957,0.08942250135284192,0.8139120881780213,0.09418427278400439
203,ATP12A,-0.10815641066806947,0.08393482810239086,0.8242617976230746,0.13690458187065177
204,ATP12A;ATP1A1,-0.059510318450733735,0.196903948020384,0.6354714621718783,0.20570037128824492
205,ATP13A1,0.27189797098615287,0.597679333223624,0.2525344704195114,0.6566194422867957
206,ATP1A1,0.15605277513991211,0.37601608033114015,0.4207110507095301,0.4071124676259159
207,ATP1B1,0.7604482014325846,1.320125953318279,0.04784913009959434,1.5234874465142625
208,ATP1B3,-0.0036197718307811044,0.011030094070222169,0.9749220789726287,0.011608863997173308
209,ATP2A2,-0.05606527867681521,0.05944062291791392,0.8720861254355309,0.08170987165562422
210,ATP2B4,0.08497855944857235,0.690690596077455,0.2038493842348544,0.6958985953971919
211,ATP2C1,0.11518136399320866,0.5985874541023319,0.2520069660822401,0.6095684430972845
212,ATP5F1A,-0.33528286944933683,1.147519336485475,0.07120010982254849,1.195497900522726
213,ATP5F1B,0.05596984031704011,0.38480499017808617,0.4122826034408842,0.38885409023317724
214,ATP5F1D,0.8122203228883969,0.8392694263065632,0.14478733475477432,1.1679362237921553
215,ATP5IF1,-0.06584589026734022,0.16979973045390342,0.6763948146158233,0.18211982244477637
216,ATP6AP2,-0.3518744949509234,0.7109785602391966,0.194545612033851,0.7932882031876992
217,ATP6V1A,-0.10636961466230943,0.39740461855480863,0.40049341659603505,0.411393881544319
218,ATP6V1B2,-0.12966515168999138,0.3257012952842228,0.4723878346135852,0.35056295484920963
219,ATP6V1C1,-0.12471633547830052,0.28761699134853796,0.5156832303039307,0.3134927400236263
