,Gene,Fold Change,Neg Log P-Value,p-values,Distance
43,ACTB;ACTG1;POTEF,0.007495396111394825,0.02756339950131773,0.9385050211307083,0.028564347619645634
44,ACTB;ACTG1;POTEJ,0.19639054506474807,0.21657770656753594,0.6073265866342277,0.29236133323831065
45,ACTBL2,-0.1229589545683396,0.2744768908354545,0.5315242815958858,0.300759817979791
46,ACTG2,0.1649181742699568,0.24937134257768112,0.5631559246221045,0.29897168879934277
47,ACTL6A,-0.4951091485438823,0.4788002606098029,0.33204713654384754,0.6887544980120734
48,ACTN1,0.38765046237314493,1.0563347597760524,0.08783452160314495,1.1252182035895275
49,ACTN1;ACTN4,-0.018568827637022167,0.06969268338363403,0.8517405359100931,0.07212400070035561
50,ACTN4,0.25108266599092843,0.6504258288139064,0.223652713243896,0.6972060412456057
51,ACTR1A,-0.9753503336177065,0.5018807205822706,0.31486129650855776,1.0969013314698595
52,ACTR1A,0.22764745089379446,0.34770046128741805,0.44905500238990653,0.415594721667547
53,ACTR2,-0.4289245935935462,0.30019107851557125,0.5009667725061252,0.5235370002299079
54,ACTR3,-0.16601044827658384,0.3446099866838716,0.45226191082611283,0.382512106813955
55,ADAM10,-0.4450747247098086,0.2620556548802026,0.5469458672364675,0.5164926687090571
56,ADAM19,-0.024012332874107756,0.0477030044934113,0.8959772768049492,0.0534056997684271
57,ADAMTS1,-0.7448276595009276,0.5887908969721188,0.25775618963809177,0.9494435015917808
58,ADAMTS13,0.25110683979509574,0.17828225169065415,0.6633118382610634,0.30795974779144375
59,ADAMTSL1,-0.5597126319496972,1.1637835791837932,0.0685829909108558,1.2913831536542117
60,ADD1,-0.266192782617825,0.3110406829984676,0.48860658645620714,0.4093957791648246
61,ADGRF5,0.5269030381693476,0.45271729480686784,0.35260032250767065,0.6946796100716772
62,ADGRG1,0.3845901458064205,0.3301189658852914,0.4676070325801971,0.5068413083881167
63,ADH5,0.1808622027633433,0.5560143607430379,0.27796213529649855,0.5846906068519467
64,ADK,0.1284342057669967,0.16859146014001952,0.6782792634010049,0.21193967453769255
65,ADRM1,0.1609384547488517,0.15307152503915136,0.7029565386879854,0.22210825737635181
66,ADSL,0.537480307572757,0.6517774869998162,0.22295771919631527,0.844807062937036
67,ADSS2,0.015289488455074718,0.017370156125714766,0.9607930300537886,0.023140673738021745
68,AEBP1,-0.4414709927887053,0.24945731630330864,0.5630444522848723,0.5070755270480859
69,AFM,0.06509158382750968,0.034853829459886944,0.922881989378487,0.07383565340127088
70,AFP,0.1502257685558277,0.1352500618692672,0.7324027024841457,0.2021394587254792
71,AGK,-0.6326340902638243,0.5755664028317868,0.26572572287231483,0.8552792387475914
72,AGPAT1,0.1495478792106013,0.0902843891965184,0.812298424327375,0.1746878333169686
73,AGPS,-0.38742964189040663,0.6055257526405627,0.2480128867528265,0.7188624100106005
74,AGRN,-0.7880216324910556,0.44210264618640993,0.3613244529417839,0.9035667341369392
75,AHCY,0.08570178546476726,0.16081190943035953,0.6905388076756,0.18222312215107925
76,AHCYL1;AHCYL2,0.26110970042554627,0.5317557314774815,0.2939302394991198,0.5924039446319292
77,AHNAK,0.6446672458396208,0.3038109358079153,0.4968085532223781,0.7126688870540956
78,AHNAK2,0.3302451449799406,1.0550759029186687,0.08808949029711392,1.105552810453877
79,AHSA1,0.6115611153403044,0.5074363482902641,0.3108591475331756,0.7946688903955127
80,AHSG,-0.07065232340330851,0.03678279792764493,0.918791993593663,0.079653782243354
81,AIFM1,-1.1776316924592187,0.6329877089172266,0.23281571465226042,1.336970397101089
82,AIMP1,0.801856068715292,0.8795484913041065,0.13196279599539779,1.1902011189252315
83,AIMP2,-0.153515947051595,0.10314318713861766,0.7886000728582322,0.18494773059505223
84,AK1,0.6256577440349034,0.7299727415576012,0.18622040140122284,0.9614092864581478
85,AK2,-0.4710433021328875,0.4115329912078461,0.3876742976891831,0.6254927620178605
86,AKAP2,0.232213170715724,0.40341962974407314,0.39498478821531524,0.4654786292803302
87,AKAP8,-0.8674359045165954,0.7678139227687053,0.17068135313964908,1.1584400150383236
88,AKR1A1,0.3355969481861045,0.4925692972045369,0.32168492025656004,0.5960283753147985
89,AKR1B1,0.1638157096626145,0.2738935656635611,0.5322386812091672,0.31914459425809716
90,AKR1C1;AKR1C2,-0.31267063676677864,0.47333914031291935,0.3362488902594609,0.5672855267396801
91,AKR1C2,0.315402332457559,1.0186257592396302,0.09580192612055377,1.066338158703036
92,AKR1C3,-0.1743224696741521,0.2914045715079715,0.5112053949951713,0.3395658223806397
93,AKR1E2,0.35280146910334054,0.5772321997846577,0.26470844706350266,0.6765100805381323
94,AKR7A2,-0.7120554346553121,0.7735149189189313,0.16845545578265983,1.0513554450386065
95,ALB,-1.346630712039392,0.8092798440267904,0.1551387028803135,1.571097750159342
96,ALCAM,0.12457552279234463,0.06881331068495816,0.8534669133182667,0.1423177171205699
97,ALDH16A1,0.3188157034395278,0.21633825447844493,0.6076615338283762,0.38528650782297236
98,ALDH18A1,-0.400781247404165,2.40143852932292,0.003967906872922517,2.4346524635741065
99,ALDH1A3,-0.5905733249503626,0.41454616591253896,0.3849938872904539,0.7215437449078974
100,ALDH4A1,-0.6781965699630277,0.8233958359673094,0.1501772557526987,1.0667386231865423
101,ALDH9A1,0.2453250433283216,0.19852023868235194,0.6331108572417732,0.3155862196778257
102,ALDOA,-0.1962992949743878,0.818323169368912,0.15194164732213558,0.8415380102725145
103,ALDOA;ALDOB;ALDOC,-0.07614725573441206,0.1291806407546653,0.7427101502544978,0.1499534677880703
104,ALDOA;ALDOC,-0.055037777860558634,0.05101019644431594,0.8891802412785125,0.07504130284793768
105,ALDOA;ALDOC,0.5722243063907158,0.7659480224320122,0.17141624509479894,0.9560946762177092
106,ALDOB,-0.14660494125955736,0.12623244950096102,0.7477691613385381,0.19346224465960002
107,ALDOC,-1.0227772441133176,1.233846683341059,0.05836511111400621,1.602638739413148
108,ALG1;ALG1L;ALG1L2,-0.07619058072162943,0.06753045388335926,0.8559916852034486,0.10181044539924007
109,ALMS1,0.12671095111542385,0.06294006283346294,0.8650873016046475,0.14148185976320637
110,ALOX12,0.7724209881804676,0.4568234014693462,0.3492823163719893,0.8973972381903755
