Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_DMSO_20240304160237.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_Torin1.mzML
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme				143227	267334	116845		124434	260824		307395	265970			202776	106635	306486	277328
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	419937	547457	360963	523078	461035	596696	270204	487610	414271	519750	381021	568782			398896	432665	720572	539343
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit		48107.5			85087.2				106114		101144	74526.6			69425.9		88347.6	
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein		345170	1.00023e+06	593162	1.01521e+06	389453				699000	1.09749e+06	753473			511816	741029	933995	523817
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	1.07638e+06	345653	729882	699378	1.17742e+06	581346			628234	790885	1.95533e+06	1.50457e+06			764387	1.16514e+06	1.76668e+06	1.03213e+06
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	379756	363042	558180	614427	601506	1.14671e+06		574638	682718	719318	793944	799883		550355	576316	545376	1.01027e+06	911278
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	956168	1.47253e+06	1.09717e+06	1.23011e+06	1.65705e+06	1.81509e+06	1.88458e+06	1.15281e+06	1.31233e+06	1.18846e+06	1.82615e+06	2.10151e+06		1.07479e+06	1.30521e+06	1.46251e+06	2.24546e+06	1.77509e+06
P14543	P14543	NID1_HUMAN	NID1	Nidogen-1	255247	289439	1.43624e+06	1.27794e+06	2.18805e+06	1.08054e+06		728458	1.49056e+06	1.05929e+06	2.08091e+06	1.39737e+06		1.58963e+06	2.34179e+06	1.8775e+06	2.05442e+06	1.17109e+06
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	431120	450764	524896	576999	517170	556442		593055	482460	358934	658893	651661		158732	361892	583872	693172	615918
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	3.13357e+07	3.1527e+07	2.98567e+07	3.10534e+07	3.33656e+07	2.94746e+07	2.25616e+07	3.22527e+07	3.10814e+07	2.74079e+07	3.14008e+07	3.26965e+07	2.80109e+07	3.0203e+07	3.11535e+07	3.35868e+07	3.13338e+07	3.21459e+07
