Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_DMSO_20240304160237.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_Torin1.mzML
P48163	P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1.81285e+06	694273	730522	1.93403e+06	797137	1.07763e+06	1.08063e+06	1.85256e+06	916900	1.07842e+06	745108	637643	828103	1.57724e+06	672622	512699	670705	861892
P48382	P48382	RFX5_HUMAN	RFX5	DNA-binding protein RFX5	467030	553571	612671	322616	173712	215689		616287	367389	266914	68010.3			520530	312461	281072	56563	
P48444	P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	354252	373979	346221	442869	415862	338375	281369	305505	454654	422601	373670	348280	260053	174350	469213	344268	311693	391707
P48509	P48509	CD151_HUMAN	CD151	CD151 antigen	437594	265704	847200	1.00345e+06	1.80218e+06	1.09537e+06		397575	973064	880790	1.53214e+06	1.5387e+06		572345	676833	1.05543e+06	1.24196e+06	1.5038e+06
P48637	P48637	GSHB_HUMAN	GSS	Glutathione synthetase	1.02859e+06	972436	697319	799080	1.29124e+06	1.09815e+06		659827	1.01925e+06	956692	1.36702e+06	1.22584e+06		911318	883156	796096	1.26185e+06	1.32691e+06
P48643	P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	1.11695e+06	1.23133e+06	1.05646e+06	1.14286e+06	989003	956984	1.89949e+06	1.02208e+06	1.2479e+06	1.16723e+06	1.11834e+06	1.12647e+06	659434	941084	1.20641e+06	1.19006e+06	1.01762e+06	1.0469e+06
P48723	P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	455515	287643	971029	544053	1.86576e+06	1.22945e+06		515744	754597	735442	3.04591e+06	1.68471e+06		817292	1.57405e+06	1.00705e+06	2.62293e+06	1.08561e+06
P48736	P48736	PK3CG_HUMAN	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	444622	392767	585399	541132	545359	662159	150716	484064	399954	537505	635804	715283	724659		520097	595335	815793	702868
P48739	P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	268383	238147	384395	277280	452072	362480			265565	476250	417947	469893			271282	335660	323001	332039
P48745	P48745	CCN3_HUMAN	CCN3	CCN family member 3	168107		581104	1.10828e+06	1.1144e+06	1.08531e+06		265055	343635	639235	980738	1.05096e+06		87867.2	231684	1.20714e+06	949895	702297
P49006	P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	110554	97444	146766	140614	159944	138046		65858.9	135686	215816	153548	135769			208063	112312	141104	227096
P49189	P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	980782	492647	668419	652769	844032	492939	380395	641528	686041	688121	954334	826674	422615	397329	503362	581293	886628	815280
P49207	P49207	RL34_HUMAN	RPL34	60S ribosomal protein L34	1.92168e+06	1.9288e+06	1.1354e+06	1.4837e+06	550903	492771	1.75145e+06	1.91202e+06	1.27868e+06	1.18193e+06	552508	600046		1.33132e+06	1.04674e+06	1.28884e+06	484137	565144
P49321	P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	650252	528172	599677	497746	580474	677057		472799	912596	591663	804978	828738			1.13993e+06	829649	903334	839977
P49327	P49327	FAS_HUMAN	FASN	Fatty acid synthase	1.82829e+06	1.66157e+06	1.52057e+06	1.97008e+06	2.2614e+06	1.42817e+06	810683	1.78017e+06	2.55818e+06	1.80427e+06	2.26989e+06	1.98105e+06	1.72263e+06	1.52332e+06	2.68368e+06	2.20917e+06	2.30578e+06	1.91859e+06
P49368	P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	2.59334e+06	2.55581e+06	2.43512e+06	2.72172e+06	2.01195e+06	1.89539e+06	1.34415e+06	2.0339e+06	2.82451e+06	2.44604e+06	1.8654e+06	1.99978e+06	918965	2.28906e+06	2.44046e+06	2.37709e+06	1.93299e+06	2.12976e+06
P49458	P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein			34600				16346.3		26088.3		41652.9	25814.3			18325.7	35286.8	16134.4	
P49459	P49459	UBE2A_HUMAN	UBE2A	Ubiquitin-conjugating enzyme E2 A	509333	258865		328700	121213	321970		357074	167771		175432	119003		390989	202070		178159	234592
P49585	P49585	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A	254416	206525	129110	547220	245718	198316			519511		258108	391897			663815	199983	359052	354195
P49588	P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	1.91524e+06	2.35525e+06	2.01545e+06	2.24943e+06	3.3094e+06	2.19378e+06	1.88999e+06	2.32622e+06	2.46415e+06	1.97498e+06	2.8336e+06	2.69401e+06	1.48311e+06	1.45116e+06	2.26383e+06	2.22816e+06	2.78556e+06	2.77953e+06
P49589	P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	651480	668579	613214	480695	586365	532120		604471	642573	537790	362365	417578			510981	492206	394426	630161
P49591	P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	830997	950677	409024	425213	912381	527240		857937	609657	359248	918729	791828		998732	582895	475141	803433	671374
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	805988	1.48707e+06	1.33574e+06	1.42118e+06	1.22489e+06	996716	1.16142e+06	1.27766e+06	1.46325e+06	988181	1.10787e+06	1.11244e+06		833955	1.19605e+06	1.60763e+06	988488	1.22318e+06
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	1.23885e+06	1.15365e+06	1.1981e+06	1.55096e+06	1.30116e+06	1.19586e+06	1.58512e+06	969484	1.09911e+06	1.29971e+06	1.66234e+06	1.22257e+06		1.64536e+06	1.25315e+06	1.24109e+06	1.53287e+06	1.34833e+06
P49736	P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	502135	343336		244109	58291.6	304588		846681	279392	585495	269177	154316		973469	423897	183069	218162	159017
P49747	P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	2.95798e+07	2.77483e+07	5.25045e+07	2.32255e+07	1.19191e+07	2.23407e+07	5.65493e+07	3.6628e+07	2.17004e+07	3.20485e+07	6.99886e+06	9.03774e+06	2.12997e+07	6.20005e+07	1.50579e+07	2.51149e+07	6.95469e+06	1.54536e+07
P49767	P49767	VEGFC_HUMAN	VEGFC	Vascular endothelial growth factor C			443471	606874	820512	747465		89017.2	279564	430752	620784	941373			370913	457351	688622	512158
P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	948631	1.10438e+06	772141	858237	895566	494957	202889	586854	905439	600716	958428	755067	606809	890909	983623	1.00592e+06	935519	708005
P49917	P49917	DNLI4_HUMAN	LIG4	DNA ligase 4	504808	2.08489e+06	3.91791e+06	671901	80099.1	208262	1.5999e+06	624708	523794	655228	44519.8	87006.9		751346	302778	1.78421e+06	177349	152766
P50281	P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14			507355	586137	769459	383362			387097		674544	731308			591017	671102	613648	813207
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	4.79865e+06	5.5483e+06	6.4064e+06	5.52041e+06	6.92003e+06	6.81745e+06	3.39795e+06	5.14385e+06	6.10247e+06	5.83932e+06	8.89862e+06	7.83352e+06	6.05258e+06	5.74779e+06	5.75487e+06	6.72993e+06	8.71151e+06	7.26287e+06
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1	864819	1.17798e+06	1.97393e+06	1.74419e+06	2.47259e+06	2.04558e+06	404459	1.33445e+06	1.83303e+06	1.71061e+06	1.83668e+06	1.86374e+06	266614	1.43548e+06	1.88236e+06	1.80571e+06	1.9432e+06	2.09764e+06
P50502	P50502;Q8IZP2	F10A1_HUMAN	ST13	Hsc70-interacting protein	2.41841e+06	1.44838e+06	1.99555e+06	2.86416e+06	2.91495e+06	3.7896e+06	1.85844e+06	1.80408e+06	2.705e+06	2.84491e+06	3.82104e+06	3.47905e+06	4.51683e+06	2.16239e+06	2.50792e+06	2.41853e+06	3.87635e+06	3.93258e+06
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	485004	671917	298051	604815	1.10358e+06	650494		357401	734805	1.06057e+06	863080	842007			999202	453292	671132	895291
P50579	P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2		49847		45264.1	97305.5	131243		56010.4	40724.2	64057.7	50738	106131			50106.7		88152.2	116067
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1			188895	81999.9	413684	196610		73480.3	155410	72328.3	536467	354102		51870.9	259014	172068	562823	164873
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14	1.54729e+06	1.46228e+06	1.09831e+06	1.54952e+06	534875	451276	552052	1.71101e+06	1.53792e+06	1.41781e+06	438683	400252	2.13349e+06	1.23839e+06	1.17809e+06	1.06931e+06	449912	645383
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	3.34283e+06	3.05485e+06	3.36534e+06	3.11535e+06	2.68337e+06	2.74421e+06	1.94847e+06	2.69985e+06	3.54836e+06	4.20493e+06	2.92719e+06	2.80324e+06	3.78003e+06	2.18318e+06	3.71121e+06	3.48231e+06	2.99799e+06	2.93187e+06
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	1.588e+06	1.9372e+06	1.85528e+06	1.49878e+06	1.39774e+06	1.33748e+06	2.58125e+06	1.51388e+06	1.62714e+06	1.88156e+06	1.18664e+06	1.19043e+06	2.60679e+06	1.39045e+06	1.46366e+06	1.8425e+06	1.08152e+06	1.18182e+06
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11	465384	388137	688951	749288	930558	673385		353653	650485	460181	1.0229e+06	728185		315460	470036	686813	1.00475e+06	862095
P51114	Q06787;P51114;P51116	FXR1_HUMAN	FXR1	Fragile X mental retardation syndrome-related protein 1	522505	484065	437881	715520	398688	382318		733968	688847	519668	361266	394653	630320	396431	744186	734190	338572	541498
P51148	P61020;P20339;P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	786545	724876	950759	857437	1.74969e+06	1.17066e+06	469135	943739	786697	915964	1.87224e+06	1.34044e+06	366955	818968	749080	634982	1.71068e+06	1.24233e+06
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	438800	323636	419039	416573	994192	490871		239023	577525	533611	1.37251e+06	1.16848e+06			671390	661858	1.47438e+06	968219
P51397	P51397	DAP1_HUMAN	DAP	Death-associated protein 1		228877	244036			171841		59816.2	169361		59095.1	97615.6			58454.6	280850	115040	153342
P51452	P51452	DUS3_HUMAN	DUSP3	Dual specificity protein phosphatase 3			36560.8	167868	419378	114453		180652	202688	80310.6	378336	400382			179453	225652	419163	252992
P51570	P51570	GALK1_HUMAN	GALK1	Galactokinase	141489	287899	263937	167274				203440			137166	46475		280414		102743	102528	
P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7	228901	268499	285444	604497	429892	320663		484796	557223	93549.1	454555	415308			587978	545330	359191	554585
P51812;Q15418	Q15418;P51812	KS6A1_HUMAN;KS6A3_HUMAN	RPS6KA1;RPS6KA3	Ribosomal protein S6 kinase alpha-3	2.67478e+06	1.65728e+06	2.24204e+06	2.37977e+06	2.29597e+06	2.57369e+06	2.46594e+06	3.34926e+06	2.36165e+06	2.9929e+06	2.00426e+06	2.77581e+06	1.87788e+06	1.95346e+06	2.65154e+06	2.79198e+06	2.60855e+06	2.87139e+06
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	942556	857104	1.53302e+06	1.17641e+06	884136	2.26076e+06	982938	1.0997e+06	1.11042e+06	1.30047e+06	1.46019e+06	1.6953e+06	1.17186e+06	334948	1.05845e+06	1.326e+06	1.5335e+06	2.03281e+06
P51884	P51884	LUM_HUMAN	LUM	Lumican	4.02993e+06	1.99066e+06	3.84261e+06	2.81767e+06	1.04294e+06	2.3184e+06	6.07381e+06	3.8058e+06	1.69095e+06	5.32522e+06	868612	862274	7.16497e+06	3.16318e+06	1.392e+06	1.66608e+06	761882	1.11061e+06
P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	926290	602620	866869	1.24385e+06	767256	741961	303685	1.07892e+06	1.04187e+06	531569	769583	819888	989468	911729	1.27717e+06	1.20138e+06	741481	946138
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	2.3661e+06	2.24378e+06	2.00956e+06	1.80012e+06	2.95892e+06	2.17341e+06	2.31761e+06	2.18566e+06	2.48553e+06	1.93197e+06	2.1322e+06	2.17911e+06	1.68268e+06	1.76857e+06	1.96452e+06	1.57219e+06	2.0609e+06	2.70678e+06
P52272	P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M		402924	803784	916486	908610						1.08711e+06	824312		1.0797e+06	619374	415406	1.10628e+06	1.23041e+06
P52292	P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	1.24049e+06	1.22472e+06	892066	1.36907e+06	1.05669e+06	838588		1.06658e+06	1.12332e+06	1.1947e+06	986677	900904		1.29754e+06	1.13167e+06	1.03889e+06	1.0952e+06	820335
P52306	P52306	GDS1_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	44539				105613				124642		148742	107607			80293		150404	49305
P52434	P52434	RPAB3_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3					59578.4				123021	56013.5	123310	123361			149826	115646	170419	101215
P52565	P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	1.75418e+06	1.55458e+06	2.04424e+06	2.16955e+06	2.43862e+06	2.22916e+06	1.55638e+06	1.47842e+06	2.29123e+06	2.30228e+06	3.24395e+06	3.61531e+06	3.02522e+06	1.71636e+06	2.43956e+06	2.26403e+06	3.89686e+06	2.84422e+06
P52566	P52566	GDIR2_HUMAN	ARHGDIB	Rho GDP-dissociation inhibitor 2	1.23798e+06	1.11257e+06	1.42954e+06	849219	1.05222e+06	928342	1.68238e+06	870113	1.13041e+06	1.12708e+06	1.28637e+06	1.17604e+06	1.63633e+06	838137	1.34986e+06	1.61402e+06	1.21624e+06	1.19756e+06
P52597	P55795;P31943;P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	719722	634288	701889	973924	655734	460054		694906	909913	948354	892323	879084	409787	741156	973652	731052	912866	695509
P52788	P52788	SPSY_HUMAN	SMS	Spermine synthase	1.15708e+06	1.18619e+06	1.59541e+06	1.02013e+06	1.0616e+06	800798	1.36958e+06	1.02448e+06	1.13533e+06	1.60071e+06	1.13011e+06	1.01153e+06		400441	1.42403e+06	1.3922e+06	1.11995e+06	869367
P52823	P52823	STC1_HUMAN	STC1	Stanniocalcin-1	751539	1.10108e+06	4.33572e+06	4.5799e+06	4.59904e+06	9.78027e+06	2.33452e+06	1.21955e+06	2.53595e+06	3.97404e+06	3.18019e+06	9.60326e+06		1.97616e+06	2.42486e+06	4.97332e+06	2.98134e+06	9.98801e+06
P52848	P52848	NDST1_HUMAN	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1				79526.1	152679	122328			77524.7		114440	110043			95242.7	39010.1		110547
P52888	P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	691141	667015	675101	765052	948268	518820		611318	858524	769355	695692	828963		313542	838372	1.01692e+06	772959	736135
P52895	Q04828;P52895	AK1C2_HUMAN	AKR1C2	Aldo-keto reductase family 1 member C2		159869	64579.8	188859	190812	134490		170978	146661		165550	151567				110758	162491	165814
P52907	P47755;P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	2.06881e+06	1.5492e+06	1.9966e+06	2.04991e+06	1.77956e+06	1.84581e+06	1.44907e+06	1.83341e+06	1.95393e+06	1.92914e+06	2.18162e+06	1.92029e+06	2.80887e+06	1.91447e+06	1.75218e+06	2.06066e+06	1.96127e+06	2.11501e+06
P52926	P52926	HMGA2_HUMAN	HMGA2	High mobility group protein HMGI-C	84406.7	59248.1	152403		21920.4		95429.2		180473	109433					121527	29191.9		105045
P52943	P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2	351194	536469	651463	566901	550858	803389		224136	679560	814201	602730	871348	89008.5	365133	707111	778802	669125	800985
P53396	P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	1.25537e+07	1.23877e+07	1.11699e+07	1.31377e+07	1.41488e+07	1.01474e+07	1.83609e+07	1.10864e+07	1.63982e+07	1.16999e+07	1.11524e+07	1.063e+07	2.34731e+07	9.62504e+06	1.38132e+07	1.27997e+07	1.11396e+07	1.23884e+07
P53618	P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	705422	993342	1.02187e+06	1.03974e+06	1.04768e+06	704504	496897	656172	1.16971e+06	1.22348e+06	1.03428e+06	897250	1.33633e+06	983457	1.24088e+06	1.0537e+06	990815	902597
P53621	P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	861499	987394	711329	657902	681306	509298	892285	533933	804822	713456	664679	570272	859901	681484	867379	681988	533665	590788
P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	481130	1.56628e+06	3.4043e+06	910777	1.34592e+06	1.11823e+06		1.9333e+06	908758		1.47853e+06	943699		1.4856e+06	1.31504e+06	1.22629e+06	1.19031e+06	642557
P53985	P53985	MOT1_HUMAN	SLC16A1	Monocarboxylate transporter 1			366563		201741	313405			166110		181377	168246				264016	129100	156119
P53990	P53990	IST1_HUMAN	IST1	IST1 homolog		99538	166306	135438	328169	396876		98742.2	110994		370750	436898			106937	148999	401325	379399
P53992	P53992	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C		249724	106988		156537	219535			198029	101741	125291	142426			263559		142887	183596
P53999	P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	2.67193e+06	1.62831e+06	3.42471e+06	2.28725e+06	1.48438e+06	4.13695e+06	4.08652e+06	1.69494e+06	3.77175e+06	2.27951e+06	1.62629e+06	2.63106e+06	4.31083e+06	1.97233e+06	1.9786e+06	2.79676e+06	1.55773e+06	2.85013e+06
P54136	P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic	1.12675e+06	2.012e+06	1.50655e+06	1.76176e+06	2.08678e+06	1.50455e+06		1.84736e+06	2.01791e+06	1.62769e+06	1.97512e+06	1.95261e+06		1.08383e+06	2.29822e+06	2.08974e+06	1.8242e+06	1.99645e+06
P54289	P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	2.29562e+06	1.67085e+06	2.88376e+06	1.47618e+06	793611	1.26809e+06	2.20234e+06	2.80848e+06	1.44473e+06	2.01376e+06	377963	532298		2.77703e+06	1.11414e+06	1.43042e+06	469844	785285
P54577	P54577	SYYC_HUMAN	YARS1	Tyrosine--tRNA ligase, cytoplasmic	1.74716e+06	1.66894e+06	837414	1.52501e+06	1.23112e+06	826410	911470	1.70705e+06	1.45383e+06	1.17503e+06	1.12026e+06	1.02016e+06	1.78034e+06	742790	1.31347e+06	1.15591e+06	1.04748e+06	848969
P54578	P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14	1.48345e+06	1.37384e+06	1.32832e+06	1.69368e+06	1.94658e+06	1.44936e+06	2.11344e+06	1.372e+06	1.60619e+06	1.48993e+06	1.65918e+06	1.71471e+06		924716	1.64055e+06	1.56728e+06	1.64867e+06	1.78745e+06
P54687	P54687	BCAT1_HUMAN	BCAT1	Branched-chain-amino-acid aminotransferase, cytosolic	704360	825848	906565	1.19227e+06	821624	504754	277910	636074	1.33804e+06	984061	833788	652735	237247	272977	1.17738e+06	928533	719002	750176
P54725	P54725	RD23A_HUMAN	RAD23A	UV excision repair protein RAD23 homolog A	492005	1.60241e+06	755187	560521		714382		703326	812706	690133	407086	432946			894915	817651	413900	545540
P54727	P54727	RD23B_HUMAN	RAD23B	UV excision repair protein RAD23 homolog B	479670	690567	561812	460904	499471	271761	1.10047e+06		585244	427854	444025	368225	1.6188e+06	326100	644821	656590	466830	528043
P54819	P54819	KAD2_HUMAN	AK2	Adenylate kinase 2, mitochondrial	66237.9	266675	258143	149116	713569	1.06894e+06			167491	118178	917578	814264			111024	210847	809156	1.09982e+06
P55010	P55010	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5	1.08978e+06	1.44476e+06	465105	1.38354e+06	1.25641e+06	1.22414e+06	977611	1.86283e+06	866993	852247	1.04518e+06	1.07597e+06	1.30381e+06	860429	1.03544e+06	669894	1.13227e+06	1.07919e+06
P55036	P55036	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4	131866	233077	150947	79624.8	114242				158067		143114	116253			192547	206323	120374	148194
P55058	P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein	4.20487e+06	2.7502e+06	4.28003e+06	2.59421e+06	1.15577e+06	1.835e+06	3.23319e+06	4.87093e+06	2.60941e+06	4.43217e+06	603392	572152	3.28947e+06	5.16499e+06	1.94103e+06	2.10508e+06	591723	918214
P55060	P55060	XPO2_HUMAN	CSE1L	Exportin-2	896820	1.19341e+06	1.04356e+06	887659	941580	485435		916441	998890	791982	1.1613e+06	931615	701134	945459	1.24433e+06	1.14086e+06	1.15851e+06	811964
P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	3.76137e+06	3.61399e+06	4.33005e+06	3.82091e+06	3.84348e+06	3.52999e+06	4.25341e+06	3.22017e+06	3.93691e+06	4.16398e+06	3.52049e+06	3.25007e+06	2.75409e+06	2.94222e+06	3.65315e+06	3.83753e+06	3.40908e+06	4.10599e+06
P55145	P55145	MANF_HUMAN	MANF	Mesencephalic astrocyte-derived neurotrophic factor	131020	222720			206294	647454			284935	68747	329233	435972			99098.1	305209	211540	420467
P55209	P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	2.85542e+06	2.94825e+06	3.00652e+06	3.31743e+06	3.08606e+06	3.17107e+06	1.3571e+07	2.37278e+06	3.28106e+06	3.70191e+06	3.78322e+06	3.941e+06		3.07922e+06	3.97858e+06	2.91828e+06	3.80884e+06	4.012e+06
P55209;Q99733	P55209;Q99733	NP1L1_HUMAN;NP1L4_HUMAN	NAP1L1;NAP1L4	Nucleosome assembly protein 1-like 1	1.91856e+06	2.43264e+06	1.98062e+06	2.39849e+06	1.96626e+06	2.91786e+06		2.38141e+06	2.27666e+06	1.79102e+06	2.49e+06	2.80808e+06	1.65591e+06	1.48093e+06	2.8104e+06	2.53956e+06	2.67087e+06	2.70906e+06
P55263	P55263	ADK_HUMAN	ADK	Adenosine kinase	512640	619946	571654	437643	381475	471322		575177	435795	453029	421959	390733		489841	312616	499041	467623	319266
P55268	P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2			734918	461344	892364	602235		242472	554939	509577	906366	683910		621526	720310	747574	869298	535011
P55285	P55285	CADH6_HUMAN	CDH6	Cadherin-6	528885	494049	670094	620099	177865	274558	722624	758678	370936	736913	114720	115369	559139	752354	324488	371312	76668.8	
P55287	P55287	CAD11_HUMAN	CDH11	Cadherin-11	592749	577957	825729	568568	254958	428858		926911	515865	774484	151222	116804		733072	393596	327209	144386	192716
P55290	P55290	CAD13_HUMAN	CDH13	Cadherin-13	1.153e+06	1.18911e+06	1.63702e+06	916626	286981	463327	1.69336e+06	1.67623e+06	756562	1.43108e+06	156934	209555	779258	2.31608e+06	570258	1.02588e+06	92005.1	296080
P55735	P55735	SEC13_HUMAN	SEC13	Protein SEC13 homolog	121914	108882	67974.7	127493	155195	49729.6		90720.9	165963	75489.3	146428	85117.4			97800.4	137967	137406	72775.7
P55786	P55786;A6NEC2	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	1.03472e+06	1.02779e+06	1.14179e+06	1.26094e+06	1.34272e+06	1.17664e+06	1.12938e+06	1.02045e+06	1.37965e+06	1.18935e+06	1.3605e+06	1.30017e+06	810591	1.07941e+06	1.19589e+06	1.28387e+06	1.25032e+06	1.33946e+06
P55854;P61956;Q6EEV6	P55854;P61956;Q6EEV6	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3	483271	267111	435626	457863	285549	381053		437826	342535	444363	310349	298894	751891	150019	428288	415802	302839	388504
P55884	P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B	4.09053e+06	3.88409e+06	4.35696e+06	4.38065e+06	3.44683e+06	3.46108e+06		3.75559e+06	4.43917e+06	5.12534e+06	2.94753e+06	2.75017e+06		2.49667e+06	4.22725e+06	3.86939e+06	2.9787e+06	3.98141e+06
P56192	P56192	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic		279298	192362	289584	241865				105687			173904			169897	293238	221736	171468
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6	1.186e+06	831471	596787	1.26318e+06	956305	676838	618544	524419	927981	772651	896198	1.10452e+06	568723	2.23168e+06	808125	780671	962684	869080
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	190128	232969	267634		109997			193276	113012	146450	94711.8	81568.4			154436		102145	97760.8
